,date,SD,Mask,TransMask,Shutdown,Quaratine,Busan,Chungcheongbuk-do,Chungcheongnam-do,Daegu,Daejeon,Gangwon-do,Gwangju,Gyeonggi-do,Gyeongsangbuk-do,Gyeongsangnam-do,Incheon,Jeju-do,Jeollabuk-do,Jeollanam-do,Sejong,Seoul,Ulsan
33,2020-02-23,0.0,0.0,0.0,0.0,0.0,0.00019874244151114548,0.00018906010031528923,4.751991203113885e-05,0.012854440462793031,0.00020521969452364406,0.0003933644659454548,0.0004146997228423519,0.00012866915225193722,0.006420333538226818,0.0005101596799798337,3.421662407837523e-05,0.0003006058711332691,0.00011119796908029272,5.423802356642124e-05,0.000290495847361862,0.0002615032125146651,8.792476453748056e-05
34,2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0003556443690199445,0.00018906010031528923,4.751991203113885e-05,0.020028047559771073,0.00020521969452364406,0.0003933644659454548,0.0004838163433160772,0.0002119256625326025,0.007294106741654136,0.0006001878587998043,3.421662407837523e-05,0.0003006058711332691,0.00011119796908029272,5.423802356642124e-05,0.000290495847361862,0.0003033437265170115,0.00017584952907496112
35,2020-02-25,0.0,0.0,0.0,0.0,0.0,0.00043932539702463735,0.0003151001671921487,9.50398240622777e-05,0.022516003778376176,0.00020521969452364406,0.0003933644659454548,0.0004838163433160772,0.00025733830450387445,0.009421554541303258,0.000690216037619775,3.421662407837523e-05,0.0003006058711332691,0.00011119796908029272,5.423802356642124e-05,0.000290495847361862,0.0003451842405193579,0.0002637742936124417
36,2020-02-26,0.0,0.0,0.0,0.0,0.0,0.000606687453034023,0.0003151001671921487,0.00014255973609341655,0.02939934931651696,0.00034203282420607343,0.0003933644659454548,0.0004838163433160772,0.0003254572674607824,0.012004884012305766,0.0010203193599596673,6.843324815675047e-05,0.0003006058711332691,0.00011119796908029272,5.423802356642124e-05,0.000290495847361862,0.00042886526852405077,0.00035169905814992224
37,2020-02-27,0.0,1.0,0.0,0.0,0.0,0.0006380678385357829,0.000504160267507438,0.0005702389443736662,0.04685650878372943,0.0006156590835709321,0.0003933644659454548,0.0004838163433160772,0.00040871377774144763,0.013068607912130326,0.0012904038964195795,6.843324815675047e-05,0.0003006058711332691,0.00022239593816058545,5.423802356642124e-05,0.000290495847361862,0.000502086168028157,0.0009671724099122864
38,2020-02-28,0.0,1.0,0.0,0.0,0.0,0.0006799083525381292,0.0005671803009458676,0.0016631969210898598,0.06539178261233744,0.0008892853429357908,0.0004589252102696972,0.0004838163433160772,0.0004844015143602343,0.015499976826015038,0.0014404508611195305,0.0001026498722351257,0.0003006058711332691,0.00022239593816058545,5.423802356642124e-05,0.000290495847361862,0.00055438681053109,0.001230946703524728
39,2020-02-29,1.0,1.0,0.0,0.0,0.0,0.0008368102800469284,0.0006302003343842974,0.0026135951617126366,0.09259343726908656,0.0008892853429357908,0.0004589252102696972,0.0004838163433160772,0.0005600892509790209,0.01850119782909148,0.0017405447905194326,0.00017108312039187617,0.0003006058711332691,0.00022239593816058545,0.00016271407069926372,0.000290495847361862,0.000711288738039889,0.0014947209971371697
40,2020-03-01,1.0333333333333332,1.0,0.0,0.0,0.0,0.0008681906655486882,0.0006932203678227272,0.0032313540181174417,0.11187509796327612,0.0008892853429357908,0.0009834111648636369,0.0004838163433160772,0.0006130706666121716,0.021084527300093987,0.0018605823622793935,0.00017108312039187617,0.0003006058711332691,0.0002779949227007318,0.00016271407069926372,0.000290495847361862,0.0007949697660445819,0.0017584952907496116
41,2020-03-02,1.0666666666666667,1.0,0.0,0.0,0.0,0.0009100311795510346,0.0006932203678227272,0.00370655313842883,0.12746629026653475,0.0009576919077770056,0.0012456541421606068,0.0004838163433160772,0.0006357769875978075,0.023667856771096493,0.0018905917552193838,0.0002052997444702514,0.0003006058711332691,0.0002779949227007318,0.0002711901178321062,0.000290495847361862,0.0008263501515463417,0.0017584952907496116
42,2020-03-03,1.1,1.0,0.0,0.0,0.0,0.0009309514365522078,0.0006932203678227272,0.0038491128745222463,0.14894564562049215,0.0009576919077770056,0.0013112148864848493,0.0006220495842635279,0.0006509145349215648,0.025985255267142862,0.0018905917552193838,0.0002052997444702514,0.0004509088066999037,0.00033359390724087816,0.0002711901178321062,0.000290495847361862,0.0008891109225498614,0.0017584952907496116
43,2020-03-04,1.1333333333333333,1.0,0.0,0.0,0.0,0.0009414115650527943,0.0006932203678227272,0.0038966327865533855,0.1656978841590998,0.0010260984726182204,0.0013767756308090916,0.0007602828252109785,0.0006963271768928368,0.02925240724517544,0.0018905917552193838,0.00023951636854862662,0.0004509088066999037,0.00033359390724087816,0.00021695209426568496,0.000290495847361862,0.0008368102800469284,0.0020222695843620533
44,2020-03-05,1.1666666666666665,1.0,0.0,0.0,0.0,0.0009414115650527943,0.0006932203678227272,0.0040867124346779405,0.17888405211770686,0.0010945050374594348,0.0013112148864848493,0.0006911662047372531,0.000756877366187866,0.031835736716177954,0.0021306668987393054,0.00023951636854862662,0.0006012117422665382,0.0002779949227007318,0.00021695209426568496,0.000290495847361862,0.0008158900230457551,0.0020222695843620533
45,2020-03-06,1.2,1.0,0.0,0.0,0.0,0.0009727919505545542,0.0008822804681380165,0.004276792082802496,0.19401911911422126,0.0012313181671418643,0.0014423363751333343,0.0006911662047372531,0.000802290008159138,0.0360146520369173,0.0021906856846192857,0.00023951636854862662,0.0006012117422665382,0.0002779949227007318,0.00021695209426568496,0.000290495847361862,0.0008368102800469284,0.0019343448198245728
46,2020-03-07,1.2,1.0,0.0,0.0,0.0,0.0009832520790551407,0.001197380635330165,0.004371831906864774,0.21006643672422412,0.0012313181671418643,0.0015078971194575767,0.0006911662047372531,0.0008779777447779247,0.038294060393684215,0.002340732649319237,0.00023951636854862662,0.0006012117422665382,0.0002779949227007318,0.00021695209426568496,0.000580991694723724,0.0008472704085475148,0.0019343448198245728
47,2020-03-08,1.146153846153846,1.0,0.0,0.0,0.0,0.0009100311795510346,0.001449460769083884,0.004656951379051607,0.2223818200063194,0.0011629116023006497,0.0015734578637818192,0.0006911662047372531,0.0009460967077348325,0.039509744850626576,0.002370742042259227,0.00023951636854862662,0.0006012117422665382,0.0002779949227007318,0.00021695209426568496,0.0008714875420855858,0.0009623318220539675,0.0020222695843620533
48,2020-03-09,1.0923076923076922,1.0,0.0,0.0,0.0,0.0008995710510504479,0.0013864407356454543,0.004799511115145024,0.23013595022097197,0.0011629116023006497,0.0016390186081060615,0.0008293994456847037,0.0009915093497061044,0.03988964624342106,0.0022206950775592762,0.00023951636854862662,0.0004509088066999037,0.0002779949227007318,0.00016271407069926372,0.0017429750841711717,0.001056472978559247,0.0020222695843620533
49,2020-03-10,1.0384615384615383,1.0,0.0,0.0,0.0,0.0008995710510504479,0.0013864407356454543,0.0048945509392073015,0.23100673489748375,0.0011629116023006497,0.0014423363751333343,0.0008293994456847037,0.0010671970863248912,0.0401555772183772,0.0021906856846192857,0.00034216624078375234,0.0004509088066999037,0.0002779949227007318,0.00016271407069926372,0.002323966778894896,0.0011506141350645263,0.0020222695843620533
50,2020-03-11,0.9846153846153846,1.0,0.0,0.0,0.0,0.0008054298945451685,0.0015124808025223139,0.005274710235456412,0.23602411327167072,0.0010945050374594348,0.0015078971194575767,0.0008293994456847037,0.001135316049281799,0.04049748847189224,0.0022206950775592762,0.0007527657297242551,0.0004509088066999037,0.0002779949227007318,0.00016271407069926372,0.0029049584736186196,0.0016317800460915102,0.0020222695843620533
51,2020-03-12,0.9307692307692308,1.0,0.0,0.0,0.0,0.0007322089950410623,0.001449460769083884,0.005179670411394134,0.23855353542725255,0.0012313181671418643,0.0015078971194575767,0.0007602828252109785,0.0011428848229436779,0.04026954763621555,0.0022507044704992664,0.0007185491056458798,0.0004509088066999037,0.0002779949227007318,0.00016271407069926372,0.00435743771042793,0.0018200623591020692,0.0019343448198245728
52,2020-03-13,0.8769230769230769,1.0,0.0,0.0,0.0,0.0006694482240375426,0.001449460769083884,0.005132150499362996,0.23540212421701945,0.0012313181671418643,0.0015078971194575767,0.0007602828252109785,0.0011655911439293137,0.03966170540774437,0.0022206950775592762,0.0007869823538026304,0.0004509088066999037,0.00016679695362043908,0.00016271407069926372,0.009295867115579583,0.0019351237726085218,0.0021101943488995335
53,2020-03-14,0.823076923076923,1.0,0.0,0.0,0.0,0.0006589880955369561,0.001449460769083884,0.005037110675300718,0.23175312176306528,0.0012313181671418643,0.0015078971194575767,0.0007602828252109785,0.0012412788805481003,0.038559991368640356,0.0022206950775592762,0.0008211989778810056,0.0004509088066999037,0.00016679695362043908,0.00010847604713284248,0.011038842199750754,0.002029264929113801,0.0019343448198245728
54,2020-03-15,0.7692307692307692,1.0,0.0,0.0,0.0,0.0005648469390316766,0.0015755008359607436,0.004989590763269579,0.23067500740166974,0.0012313181671418643,0.0014423363751333343,0.0008293994456847037,0.001294260296181251,0.03776219844377193,0.0020706481128593248,0.000889632226037756,0.0004509088066999037,0.00016679695362043908,0.00010847604713284248,0.011329338047112617,0.002092025700117321,0.0019343448198245728
