기간	자치구	동	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황
기간	자치구	동	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장
2014	중랑구	중화2동	597	301	-	-	206	90	-	-	522	283	-	-	172	67	-	-
2014	중랑구	묵1동	979	211	-	39	520	209	-	-	906	189	-	37	484	196	-	-
2014	중랑구	묵2동	535	91	-	-	288	156	-	-	463	87	-	-	232	144	-	-
2014	중랑구	망우3동	604	94	-	-	476	34	-	-	527	88	-	-	407	32	-	-
2014	중랑구	신내1동	1,480	312	114	20	510	451	-	73	1,373	289	89	19	494	428	-	54
2014	중랑구	신내2동	804	41	-	66	164	448	-	85	705	38	-	66	140	377	-	84
2014	중랑구	면목본동	765	86	-	-	625	54	-	-	682	64	-	-	566	52	-	-
2014	중랑구	면목3.8동	902	254	-	-	595	53	-	-	724	228	-	-	443	53	-	-
2014	중랑구	망우본동	996	260	-	-	696	40	-	-	926	239	-	-	648	39	-	-
2014	성북구	소계	12,560	2,769	151	1,282	5,195	2,983	37	143	10,877	2,355	139	1,125	4,513	2,615	22	108
2014	성북구	돈암1동	345	-	-	67	206	72	-	-	289	-	-	59	159	71	-	-
2014	성북구	돈암2동	423	190	-	-	39	194	-	-	367	157	-	-	39	171	-	-
2014	성북구	안암동	303	116	-	-	57	34	-	96	255	112	-	-	54	23	-	66
2014	성북구	보문동	350	40	-	168	142	-	-	-	261	38	-	104	119	-	-	-
2014	성북구	정릉1동	616	104	-	-	393	119	-	-	554	91	-	-	354	109	-	-
2014	성북구	정릉2동	376	96	-	-	106	137	37	-	300	62	-	-	105	111	22	-
2014	성북구	정릉3동	574	253	-	321	-	-	-	-	507	222	-	285	-	-	-	-
2014	성북구	정릉4동	985	178	-	234	368	205	-	-	849	88	-	221	342	198	-	-
2014	성북구	길음1동	1,296	263	-	-	361	672	-	-	1,184	259	-	-	352	573	-	-
2014	성북구	길음2동	340	87	-	-	154	99	-	-	272	58	-	-	118	96	-	-
2014	성북구	월곡1동	890	70	79	159	314	268	-	-	782	70	76	135	273	228	-	-
2014	성북구	월곡2동	615	229	-	44	205	137	-	-	582	224	-	43	190	125	-	-
2014	성북구	장위1동	700	44	-	59	517	80	-	-	537	36	-	49	399	53	-	-
2014	성북구	장위2동	692	42	-	74	543	33	-	-	518	21	-	74	394	29	-	-
2014	성북구	장위3동	626	120	72	20	247	167	-	-	551	111	63	19	214	144	-	-
2014	성북구	성북동	241	161	-	-	27	53	-	-	219	150	-	-	21	48	-	-
2014	성북구	삼선동	541	151	-	-	243	100	-	47	507	145	-	-	221	99	-	42
2014	성북구	동선동	405	157	-	90	158	-	-	-	380	149	-	90	141	-	-	-
2014	성북구	종암동	1,433	313	-	46	715	359	-	-	1,263	247	-	46	648	322	-	-
2014	성북구	석관동	809	155	-	-	400	254	-	-	700	115	-	-	370	215	-	-
2014	강북구	소계	9,695	1,750	153	216	6,060	1,437	27	52	8,617	1,603	114	181	5,365	1,279	27	48
2014	강북구	번1동	621	72	-	-	464	85	-	-	478	68	-	-	338	72	-	-
2014	강북구	번2동	592	179	-	-	329	84	-	-	515	139	-	-	308	68	-	-
2014	강북구	번3동	488	40	89	-	227	132	-	-	458	40	70	-	226	122	-	-
2014	강북구	수유1동	929	109	-	-	788	32	-	-	886	92	-	-	768	26	-	-
