기간	자치구	동	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원
기간	자치구	동	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장
2019	도봉구	창1동	609	213	-	-	206	190	-	-	520	199	-	-	161	160	-	-
2019	도봉구	창2동	1,004	213	-	-	647	144	-	-	794	199	-	-	481	114	-	-
2019	도봉구	창3동	532	153	33	27	299	20	-	-	429	145	26	26	212	20	-	-
2019	도봉구	창4동	654	299	-	-	131	224	-	-	561	281	-	-	94	186	-	-
2019	도봉구	창5동	681	170	-	-	359	152	-	-	635	164	-	-	341	130	-	-
2019	도봉구	도봉1동	677	149	-	-	509	19	-	-	450	131	-	-	304	15	-	-
2019	도봉구	도봉2동	864	402	-	-	170	222	-	70	737	365	-	-	138	183	-	51
2019	노원구	소계	12,459	4,837	208	-	3,011	4,013	30	360	10,609	4,285	170	-	2,508	3,352	28	266
2019	노원구	월계1동	639	224	-	-	279	136	-	-	560	208	-	-	240	112	-	-
2019	노원구	월계2동	574	382	-	-	-	192	-	-	456	303	-	-	-	153	-	-
2019	노원구	월계3동	742	231	-	-	-	511	-	-	655	230	-	-	-	425	-	-
2019	노원구	공릉2동	1,464	558	-	-	400	301	-	205	1,227	528	-	-	309	264	-	126
2019	노원구	하계1동	590	465	-	-	39	86	-	-	479	362	-	-	36	81	-	-
2019	노원구	하계2동	335	139	-	-	59	137	-	-	319	135	-	-	53	131	-	-
2019	노원구	중계본동	347	251	-	-	28	68	-	-	273	201	-	-	25	47	-	-
2019	노원구	중계1동	455	202	-	-	201	52	-	-	405	193	-	-	179	33	-	-
2019	노원구	중계4동	228	71	20	-	-	137	-	-	201	56	20	-	-	125	-	-
2019	노원구	상계1동	1,147	464	128	-	330	195	30	-	978	425	96	-	270	159	28	-
2019	노원구	상계2동	726	164	-	-	486	19	-	57	675	157	-	-	452	19	-	47
2019	노원구	상계5동	437	95	-	-	275	67	-	-	330	90	-	-	197	43	-	-
2019	노원구	상계8동	805	248	-	-	38	470	-	49	720	241	-	-	32	403	-	44
2019	노원구	상계9동	486	137	-	-	-	349	-	-	367	125	-	-	-	242	-	-
2019	노원구	상계10동	351	111	-	-	-	240	-	-	314	104	-	-	-	210	-	-
2019	노원구	상계3.4동	890	454	20	-	342	74	-	-	622	328	17	-	217	60	-	-
2019	노원구	상계6.7동	767	130	-	-	163	425	-	49	670	128	-	-	146	347	-	49
2019	노원구	중계2.3동	690	281	40	-	-	369	-	-	623	259	37	-	-	327	-	-
2019	노원구	공릉1동	786	230	-	-	371	185	-	-	735	212	-	-	352	171	-	-
2019	은평구	소계	13,390	3,616	-	356	8,127	1,114	39	138	11,118	3,201	-	299	6,646	853	23	96
2019	은평구	녹번동	1,364	467	-	80	667	76	-	74	1,237	415	-	72	614	69	-	67
2019	은평구	불광1동	1,074	273	-	-	596	171	-	34	788	225	-	-	404	141	-	18
2019	은평구	갈현1동	736	125	-	52	523	36	-	-	529	91	-	43	369	26	-	-
2019	은평구	갈현2동	777	198	-	-	501	39	39	-	636	144	-	-	438	31	23	-
2019	은평구	구산동	870	287	-	20	523	40	-	-	665	259	-	18	358	30	-	-
2019	은평구	대조동	731	99	-	40	539	53	-	-	648	95	-	21	497	35	-	-
2019	은평구	응암1동	848	143	-	-	685	20	-	-	782	128	-	-	648	6	-	-
2019	은평구	응암2동	989	484	-	-	389	116	-	-	877	414	-	-	350	113	-	-
2019	은평구	신사1동	845	91	-	-	697	57	-	-	672	81	-	-	549	42	-	-
2019	은평구	신사2동	559	111	-	-	448	-	-	-	504	110	-	-	394	-	-	-
2019	은평구	증산동	376	99	-	-	106	171	-	-	323	91	-	-	99	133	-	-
2019	은평구	수색동	53	-	-	-	-	53	-	-	32	-	-	-	-	32	-	-
2019	은평구	진관동	1,757	519	-	-	1,089	119	-	30	1,324	461	-	-	769	83	-	11
