기간	자치구	동	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분
기간	자치구	동	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수
기간	자치구	동	계	국공립	법인	민간	민간	민간	부모협동	직장	가정	계	국공립	법인	민간	민간	민간	부모협동	직장	가정
기간	자치구	동	계	국공립	법인	계	개인	단체(법인외)	부모협동	직장	가정	계	국공립	법인	계	개인	단체(법인외)	부모협동	직장	가정
2011	동대문구	답십리1동	602	405	-	165	165	-	-	-	32	543	368	-	145	145	-	-	-	30
2011	동대문구	답십리2동	961	-	-	736	680	56	-	-	225	784	-	-	626	579	47	-	-	158
2011	동대문구	장안1동	1,276	559	-	417	417	-	-	49	251	1,120	499	-	381	381	-	-	24	216
2011	동대문구	장안2동	902	221	-	449	449	-	-	-	232	834	211	-	420	420	-	-	-	203
2011	동대문구	이문1동	631	41	-	451	392	59	-	-	139	572	40	-	411	374	37	-	-	121
2011	동대문구	이문2동	684	49	-	414	414	-	-	25	196	596	47	-	361	361	-	-	21	167
2011	중랑구	소계	11,254	2,471	114	6,626	6,052	574	-	134	1,909	9,893	2,296	103	5,818	5,392	426	-	114	1,562
2011	중랑구	면목2동	695	99	-	540	540	-	-	-	56	634	94	-	488	488	-	-	-	52
2011	중랑구	면목4동	672	226	-	369	369	-	-	-	77	597	195	-	331	331	-	-	-	71
2011	중랑구	면목5동	559	91	-	448	448	-	-	-	20	447	79	-	358	358	-	-	-	10
2011	중랑구	면목7동	705	99	-	529	529	-	-	-	77	630	97	-	470	470	-	-	-	63
2011	중랑구	상봉1동	621	233	-	221	221	-	-	-	167	593	230	-	218	218	-	-	-	145
2011	중랑구	상봉2동	494	101	-	357	206	151	-	-	36	446	100	-	322	189	133	-	-	24
2011	중랑구	중화1동	588	121	-	307	307	-	-	-	160	519	105	-	269	269	-	-	-	145
2011	중랑구	중화2동	622	318	-	196	196	-	-	-	108	546	290	-	172	172	-	-	-	84
2011	중랑구	묵1동	921	197	-	528	489	39	-	-	196	856	194	-	486	448	38	-	-	176
2011	중랑구	묵2동	413	91	-	171	171	-	-	-	151	335	85	-	158	158	-	-	-	92
2011	중랑구	망우3동	566	94	-	438	438	-	-	-	34	515	93	-	397	397	-	-	-	25
2011	중랑구	신내1동	989	91	114	493	473	20	-	49	242	864	87	103	443	423	20	-	31	200
2011	중랑구	신내2동	667	41	-	149	83	66	-	85	392	576	39	-	148	82	66	-	83	306
2011	중랑구	면목본동	963	230	-	649	649	-	-	-	84	846	191	-	579	579	-	-	-	76
2011	중랑구	면목3.8동	874	201	-	604	306	298	-	-	69	673	195	-	425	256	169	-	-	53
2011	중랑구	망우본동	905	238	-	627	627	-	-	-	40	816	222	-	554	554	-	-	-	40
2011	성북구	소계	11,571	2,140	151	6,538	5,277	1,261	37	94	2,611	10,404	2,051	147	5,821	4,675	1,146	32	70	2,283
2011	성북구	돈암1동	343	-	-	275	208	67	-	-	68	297	-	-	236	171	65	-	-	61
2011	성북구	돈암2동	255	91	-	34	34	-	-	-	130	237	85	-	33	33	-	-	-	119
2011	성북구	안암동	254	116	-	57	57	-	-	47	34	228	115	-	49	49	-	-	39	25
2011	성북구	보문동	337	40	-	297	218	79	-	-	-	235	39	-	196	152	44	-	-	-
2011	성북구	정릉1동	534	64	-	375	375	-	-	-	95	510	59	-	359	359	-	-	-	92
2011	성북구	정릉2동	348	96	-	97	77	20	37	-	118	322	79	-	97	77	20	32	-	114
2011	성북구	정릉3동	620	166	-	454	84	370	-	-	-	574	154	-	420	83	337	-	-	-
2011	성북구	정릉4동	763	99	-	500	365	135	-	-	164	744	95	-	490	359	131	-	-	159
